,HADS_01,HADS_03,HADS_05,HADS_07,HADS_09,HADS_11,HADS_13,HAMA_01,HAMA_02,HAMA_03,HAMA_04,HAMA_05,HAMA_06,HAMA_07,HAMA_08,HAMA_09,HAMA_10,HAMA_11,HAMA_12,HAMA_13,HAMA_14,BAI_01,BAI_02,BAI_03,BAI_04,BAI_05,BAI_06,BAI_07,BAI_08,BAI_09,BAI_10,BAI_11,BAI_12,BAI_13,BAI_14,BAI_15,BAI_16,BAI_17,BAI_18,BAI_19,BAI_20,BAI_21,NPI_E_screen,MDS-UPDRS_1.4
HADS_01,1.0,0.88,0.86,0.91,0.92,0.91,0.89,0.87,0.88,0.82,0.84,0.84,0.86,0.86,0.87,0.86,0.86,0.86,0.81,0.86,0.86,0.84,0.78,0.84,0.8,0.81,0.81,0.8,0.77,0.81,0.66,0.82,0.76,0.8,0.82,0.77,0.8,0.67,0.77,0.8,0.74,0.82,0.87,0.88
HADS_03,0.88,1.0,0.83,0.85,0.94,0.88,0.89,0.86,0.87,0.82,0.84,0.81,0.84,0.86,0.88,0.85,0.85,0.86,0.82,0.86,0.84,0.78,0.71,0.79,0.71,0.78,0.78,0.73,0.73,0.77,0.54,0.79,0.65,0.77,0.8,0.73,0.73,0.57,0.7,0.75,0.64,0.75,0.88,0.85
HADS_05,0.86,0.83,1.0,0.86,0.87,0.86,0.87,0.87,0.85,0.82,0.83,0.88,0.86,0.83,0.84,0.83,0.82,0.81,0.79,0.83,0.81,0.76,0.74,0.83,0.78,0.79,0.78,0.81,0.76,0.77,0.7,0.82,0.73,0.76,0.84,0.79,0.8,0.69,0.79,0.77,0.72,0.81,0.8,0.83
HADS_07,0.91,0.85,0.86,1.0,0.89,0.9,0.89,0.86,0.88,0.83,0.85,0.87,0.87,0.86,0.86,0.85,0.86,0.84,0.81,0.86,0.85,0.81,0.76,0.84,0.82,0.8,0.8,0.81,0.79,0.78,0.67,0.83,0.74,0.82,0.85,0.82,0.81,0.67,0.79,0.79,0.74,0.83,0.85,0.84
HADS_09,0.92,0.94,0.87,0.89,1.0,0.89,0.93,0.89,0.89,0.84,0.86,0.86,0.87,0.89,0.9,0.89,0.89,0.88,0.83,0.89,0.86,0.81,0.75,0.84,0.77,0.8,0.79,0.79,0.77,0.78,0.62,0.84,0.72,0.79,0.82,0.78,0.78,0.65,0.77,0.77,0.7,0.81,0.87,0.86
HADS_11,0.91,0.88,0.86,0.9,0.89,1.0,0.88,0.86,0.87,0.82,0.84,0.83,0.86,0.85,0.85,0.85,0.84,0.84,0.81,0.85,0.84,0.76,0.73,0.81,0.75,0.77,0.77,0.79,0.75,0.77,0.6,0.78,0.71,0.79,0.82,0.77,0.77,0.62,0.74,0.77,0.67,0.79,0.86,0.85
HADS_13,0.89,0.89,0.87,0.89,0.93,0.88,1.0,0.88,0.87,0.81,0.85,0.86,0.87,0.86,0.87,0.87,0.86,0.84,0.8,0.85,0.83,0.83,0.79,0.85,0.8,0.84,0.82,0.83,0.8,0.8,0.7,0.88,0.77,0.8,0.86,0.81,0.82,0.72,0.81,0.8,0.75,0.84,0.82,0.84
HAMA_01,0.87,0.86,0.87,0.86,0.89,0.86,0.88,1.0,0.94,0.89,0.92,0.91,0.94,0.92,0.93,0.91,0.9,0.91,0.88,0.93,0.9,0.8,0.73,0.84,0.76,0.83,0.8,0.81,0.77,0.78,0.61,0.81,0.7,0.81,0.83,0.78,0.78,0.62,0.78,0.81,0.68,0.85,0.88,0.88
HAMA_02,0.88,0.87,0.85,0.88,0.89,0.87,0.87,0.94,1.0,0.89,0.94,0.9,0.95,0.96,0.95,0.94,0.94,0.94,0.91,0.96,0.95,0.8,0.68,0.85,0.77,0.78,0.8,0.79,0.76,0.76,0.59,0.8,0.71,0.82,0.83,0.79,0.76,0.58,0.77,0.81,0.65,0.82,0.9,0.87
HAMA_03,0.82,0.82,0.82,0.83,0.84,0.82,0.81,0.89,0.89,1.0,0.87,0.86,0.88,0.87,0.88,0.86,0.84,0.86,0.84,0.87,0.86,0.72,0.66,0.79,0.72,0.77,0.76,0.76,0.72,0.76,0.58,0.76,0.67,0.75,0.8,0.74,0.77,0.58,0.72,0.76,0.63,0.78,0.86,0.83
HAMA_04,0.84,0.84,0.83,0.85,0.86,0.84,0.85,0.92,0.94,0.87,1.0,0.91,0.95,0.94,0.94,0.93,0.93,0.94,0.91,0.94,0.93,0.76,0.66,0.84,0.73,0.77,0.81,0.8,0.76,0.75,0.56,0.77,0.65,0.83,0.8,0.77,0.73,0.56,0.76,0.81,0.63,0.83,0.88,0.86
HAMA_05,0.84,0.81,0.88,0.87,0.86,0.83,0.86,0.91,0.9,0.86,0.91,1.0,0.93,0.88,0.9,0.88,0.88,0.87,0.84,0.88,0.86,0.8,0.73,0.87,0.81,0.83,0.82,0.82,0.8,0.77,0.7,0.85,0.74,0.83,0.84,0.85,0.81,0.68,0.8,0.82,0.73,0.86,0.83,0.83
HAMA_06,0.86,0.84,0.86,0.87,0.87,0.86,0.87,0.94,0.95,0.88,0.95,0.93,1.0,0.93,0.93,0.92,0.92,0.92,0.91,0.93,0.92,0.79,0.68,0.86,0.77,0.79,0.81,0.81,0.77,0.74,0.61,0.79,0.68,0.82,0.82,0.79,0.76,0.58,0.79,0.81,0.66,0.84,0.88,0.87
HAMA_07,0.86,0.86,0.83,0.86,0.89,0.85,0.86,0.92,0.96,0.87,0.94,0.88,0.93,1.0,0.96,0.96,0.94,0.95,0.91,0.96,0.94,0.8,0.66,0.86,0.74,0.75,0.81,0.81,0.77,0.75,0.56,0.77,0.68,0.84,0.79,0.76,0.72,0.57,0.75,0.81,0.64,0.82,0.89,0.86
HAMA_08,0.87,0.88,0.84,0.86,0.9,0.85,0.87,0.93,0.95,0.88,0.94,0.9,0.93,0.96,1.0,0.96,0.94,0.95,0.92,0.96,0.92,0.83,0.7,0.85,0.75,0.78,0.81,0.79,0.74,0.76,0.57,0.8,0.68,0.8,0.81,0.77,0.75,0.57,0.76,0.82,0.66,0.84,0.88,0.86
HAMA_09,0.86,0.85,0.83,0.85,0.89,0.85,0.87,0.91,0.94,0.86,0.93,0.88,0.92,0.96,0.96,1.0,0.96,0.95,0.92,0.96,0.93,0.8,0.67,0.84,0.74,0.78,0.81,0.82,0.76,0.75,0.57,0.79,0.67,0.82,0.78,0.77,0.74,0.57,0.76,0.81,0.64,0.83,0.88,0.85
HAMA_10,0.86,0.85,0.82,0.86,0.89,0.84,0.86,0.9,0.94,0.84,0.93,0.88,0.92,0.94,0.94,0.96,1.0,0.96,0.91,0.93,0.93,0.81,0.69,0.85,0.78,0.79,0.82,0.81,0.78,0.76,0.59,0.82,0.69,0.84,0.81,0.82,0.75,0.59,0.81,0.81,0.68,0.83,0.88,0.85
HAMA_11,0.86,0.86,0.81,0.84,0.88,0.84,0.84,0.91,0.94,0.86,0.94,0.87,0.92,0.95,0.95,0.95,0.96,1.0,0.95,0.96,0.93,0.79,0.65,0.83,0.72,0.75,0.79,0.76,0.73,0.73,0.54,0.77,0.66,0.79,0.78,0.76,0.71,0.54,0.77,0.78,0.62,0.79,0.89,0.85
HAMA_12,0.81,0.82,0.79,0.81,0.83,0.81,0.8,0.88,0.91,0.84,0.91,0.84,0.91,0.91,0.92,0.92,0.91,0.95,1.0,0.92,0.89,0.73,0.61,0.79,0.7,0.72,0.76,0.74,0.69,0.7,0.5,0.73,0.59,0.76,0.75,0.72,0.68,0.49,0.76,0.75,0.58,0.76,0.86,0.83
HAMA_13,0.86,0.86,0.83,0.86,0.89,0.85,0.85,0.93,0.96,0.87,0.94,0.88,0.93,0.96,0.96,0.96,0.93,0.96,0.92,1.0,0.95,0.79,0.67,0.83,0.73,0.76,0.8,0.78,0.73,0.75,0.54,0.77,0.66,0.81,0.79,0.75,0.72,0.55,0.74,0.8,0.64,0.82,0.89,0.87
HAMA_14,0.86,0.84,0.81,0.85,0.86,0.84,0.83,0.9,0.95,0.86,0.93,0.86,0.92,0.94,0.92,0.93,0.93,0.93,0.89,0.95,1.0,0.79,0.64,0.84,0.73,0.76,0.82,0.78,0.75,0.76,0.54,0.75,0.67,0.84,0.77,0.75,0.72,0.56,0.73,0.81,0.63,0.8,0.9,0.88
BAI_01,0.84,0.78,0.76,0.81,0.81,0.76,0.83,0.8,0.8,0.72,0.76,0.8,0.79,0.8,0.83,0.8,0.81,0.79,0.73,0.79,0.79,1.0,0.81,0.83,0.81,0.82,0.86,0.79,0.79,0.84,0.66,0.85,0.81,0.79,0.8,0.79,0.81,0.69,0.76,0.82,0.77,0.82,0.77,0.78
BAI_02,0.78,0.71,0.74,0.76,0.75,0.73,0.79,0.73,0.68,0.66,0.66,0.73,0.68,0.66,0.7,0.67,0.69,0.65,0.61,0.67,0.64,0.81,1.0,0.75,0.79,0.81,0.75,0.8,0.78,0.76,0.74,0.83,0.81,0.7,0.82,0.8,0.82,0.77,0.76,0.74,0.84,0.86,0.66,0.69
BAI_03,0.84,0.79,0.83,0.84,0.84,0.81,0.85,0.84,0.85,0.79,0.84,0.87,0.86,0.86,0.85,0.84,0.85,0.83,0.79,0.83,0.84,0.83,0.75,1.0,0.81,0.82,0.84,0.82,0.84,0.78,0.71,0.84,0.79,0.85,0.83,0.82,0.8,0.7,0.81,0.84,0.76,0.85,0.8,0.79
BAI_04,0.8,0.71,0.78,0.82,0.77,0.75,0.8,0.76,0.77,0.72,0.73,0.81,0.77,0.74,0.75,0.74,0.78,0.72,0.7,0.73,0.73,0.81,0.79,0.81,1.0,0.8,0.78,0.78,0.81,0.78,0.79,0.85,0.82,0.76,0.84,0.84,0.84,0.76,0.85,0.77,0.81,0.81,0.7,0.73
BAI_05,0.81,0.78,0.79,0.8,0.8,0.77,0.84,0.83,0.78,0.77,0.77,0.83,0.79,0.75,0.78,0.78,0.79,0.75,0.72,0.76,0.76,0.82,0.81,0.82,0.8,1.0,0.79,0.82,0.79,0.82,0.73,0.89,0.79,0.75,0.87,0.85,0.9,0.76,0.79,0.78,0.8,0.84,0.74,0.76
BAI_06,0.81,0.78,0.78,0.8,0.79,0.77,0.82,0.8,0.8,0.76,0.81,0.82,0.81,0.81,0.81,0.81,0.82,0.79,0.76,0.8,0.82,0.86,0.75,0.84,0.78,0.79,1.0,0.81,0.83,0.85,0.65,0.82,0.74,0.86,0.78,0.8,0.78,0.69,0.76,0.92,0.75,0.82,0.79,0.8
BAI_07,0.8,0.73,0.81,0.81,0.79,0.79,0.83,0.81,0.79,0.76,0.8,0.82,0.81,0.81,0.79,0.82,0.81,0.76,0.74,0.78,0.78,0.79,0.8,0.82,0.78,0.82,0.81,1.0,0.81,0.79,0.72,0.83,0.78,0.82,0.81,0.81,0.8,0.72,0.78,0.85,0.76,0.89,0.74,0.75
BAI_08,0.77,0.73,0.76,0.79,0.77,0.75,0.8,0.77,0.76,0.72,0.76,0.8,0.77,0.77,0.74,0.76,0.78,0.73,0.69,0.73,0.75,0.79,0.78,0.84,0.81,0.79,0.83,0.81,1.0,0.78,0.73,0.85,0.79,0.91,0.82,0.83,0.81,0.72,0.8,0.81,0.77,0.83,0.72,0.73
BAI_09,0.81,0.77,0.77,0.78,0.78,0.77,0.8,0.78,0.76,0.76,0.75,0.77,0.74,0.75,0.76,0.75,0.76,0.73,0.7,0.75,0.76,0.84,0.76,0.78,0.78,0.82,0.85,0.79,0.78,1.0,0.65,0.8,0.77,0.82,0.81,0.77,0.84,0.78,0.72,0.83,0.76,0.8,0.78,0.79
BAI_10,0.66,0.54,0.7,0.67,0.62,0.6,0.7,0.61,0.59,0.58,0.56,0.7,0.61,0.56,0.57,0.57,0.59,0.54,0.5,0.54,0.54,0.66,0.74,0.71,0.79,0.73,0.65,0.72,0.73,0.65,1.0,0.77,0.77,0.62,0.74,0.74,0.79,0.88,0.75,0.65,0.81,0.72,0.51,0.56
BAI_11,0.82,0.79,0.82,0.83,0.84,0.78,0.88,0.81,0.8,0.76,0.77,0.85,0.79,0.77,0.8,0.79,0.82,0.77,0.73,0.77,0.75,0.85,0.83,0.84,0.85,0.89,0.82,0.83,0.85,0.8,0.77,1.0,0.83,0.8,0.89,0.9,0.9,0.77,0.84,0.8,0.83,0.84,0.73,0.75
BAI_12,0.76,0.65,0.73,0.74,0.72,0.71,0.77,0.7,0.71,0.67,0.65,0.74,0.68,0.68,0.68,0.67,0.69,0.66,0.59,0.66,0.67,0.81,0.81,0.79,0.82,0.79,0.74,0.78,0.79,0.77,0.77,0.83,1.0,0.73,0.79,0.83,0.83,0.78,0.75,0.74,0.82,0.79,0.65,0.66
BAI_13,0.8,0.77,0.76,0.82,0.79,0.79,0.8,0.81,0.82,0.75,0.83,0.83,0.82,0.84,0.8,0.82,0.84,0.79,0.76,0.81,0.84,0.79,0.7,0.85,0.76,0.75,0.86,0.82,0.91,0.82,0.62,0.8,0.73,1.0,0.79,0.78,0.75,0.65,0.74,0.86,0.7,0.82,0.8,0.79
BAI_14,0.82,0.8,0.84,0.85,0.82,0.82,0.86,0.83,0.83,0.8,0.8,0.84,0.82,0.79,0.81,0.78,0.81,0.78,0.75,0.79,0.77,0.8,0.82,0.83,0.84,0.87,0.78,0.81,0.82,0.81,0.74,0.89,0.79,0.79,1.0,0.87,0.9,0.75,0.84,0.77,0.79,0.84,0.77,0.78
BAI_15,0.77,0.73,0.79,0.82,0.78,0.77,0.81,0.78,0.79,0.74,0.77,0.85,0.79,0.76,0.77,0.77,0.82,0.76,0.72,0.75,0.75,0.79,0.8,0.82,0.84,0.85,0.8,0.81,0.83,0.77,0.74,0.9,0.83,0.78,0.87,1.0,0.87,0.73,0.85,0.77,0.79,0.83,0.72,0.72
BAI_16,0.8,0.73,0.8,0.81,0.78,0.77,0.82,0.78,0.76,0.77,0.73,0.81,0.76,0.72,0.75,0.74,0.75,0.71,0.68,0.72,0.72,0.81,0.82,0.8,0.84,0.9,0.78,0.8,0.81,0.84,0.79,0.9,0.83,0.75,0.9,0.87,1.0,0.82,0.81,0.76,0.83,0.83,0.7,0.71
BAI_17,0.67,0.57,0.69,0.67,0.65,0.62,0.72,0.62,0.58,0.58,0.56,0.68,0.58,0.57,0.57,0.57,0.59,0.54,0.49,0.55,0.56,0.69,0.77,0.7,0.76,0.76,0.69,0.72,0.72,0.78,0.88,0.77,0.78,0.65,0.75,0.73,0.82,1.0,0.69,0.66,0.83,0.72,0.54,0.59
BAI_18,0.77,0.7,0.79,0.79,0.77,0.74,0.81,0.78,0.77,0.72,0.76,0.8,0.79,0.75,0.76,0.76,0.81,0.77,0.76,0.74,0.73,0.76,0.76,0.81,0.85,0.79,0.76,0.78,0.8,0.72,0.75,0.84,0.75,0.74,0.84,0.85,0.81,0.69,1.0,0.74,0.78,0.81,0.7,0.71
BAI_19,0.8,0.75,0.77,0.79,0.77,0.77,0.8,0.81,0.81,0.76,0.81,0.82,0.81,0.81,0.82,0.81,0.81,0.78,0.75,0.8,0.81,0.82,0.74,0.84,0.77,0.78,0.92,0.85,0.81,0.83,0.65,0.8,0.74,0.86,0.77,0.77,0.76,0.66,0.74,1.0,0.73,0.86,0.78,0.77
BAI_20,0.74,0.64,0.72,0.74,0.7,0.67,0.75,0.68,0.65,0.63,0.63,0.73,0.66,0.64,0.66,0.64,0.68,0.62,0.58,0.64,0.63,0.77,0.84,0.76,0.81,0.8,0.75,0.76,0.77,0.76,0.81,0.83,0.82,0.7,0.79,0.79,0.83,0.83,0.78,0.73,1.0,0.81,0.62,0.63
BAI_21,0.82,0.75,0.81,0.83,0.81,0.79,0.84,0.85,0.82,0.78,0.83,0.86,0.84,0.82,0.84,0.83,0.83,0.79,0.76,0.82,0.8,0.82,0.86,0.85,0.81,0.84,0.82,0.89,0.83,0.8,0.72,0.84,0.79,0.82,0.84,0.83,0.83,0.72,0.81,0.86,0.81,1.0,0.76,0.78
NPI_E_screen,0.87,0.88,0.8,0.85,0.87,0.86,0.82,0.88,0.9,0.86,0.88,0.83,0.88,0.89,0.88,0.88,0.88,0.89,0.86,0.89,0.9,0.77,0.66,0.8,0.7,0.74,0.79,0.74,0.72,0.78,0.51,0.73,0.65,0.8,0.77,0.72,0.7,0.54,0.7,0.78,0.62,0.76,1.0,0.9
MDS-UPDRS_1.4,0.88,0.85,0.83,0.84,0.86,0.85,0.84,0.88,0.87,0.83,0.86,0.83,0.87,0.86,0.86,0.85,0.85,0.85,0.83,0.87,0.88,0.78,0.69,0.79,0.73,0.76,0.8,0.75,0.73,0.79,0.56,0.75,0.66,0.79,0.78,0.72,0.71,0.59,0.71,0.77,0.63,0.78,0.9,1.0
